Probe;Time;Producers;Consumers;TaskTime;Productions;Consumptions;Avg_Time;Avg_SavedTime;Avg_PossibleSavedTime
1;5;1;1;1;287;286;1.0455375218150087;0.13270506108202443;0.8777661431064573
2;5;1;1;1;287;286;1.0462931937172775;0.12712041884816755;0.8816055846422338
3;5;1;1;1;288;286;1.0424808362369338;0.1317595818815331;0.8752090592334495
1;5;1;1;2;147;142;2.066152249134948;0.22941176470588234;1.7775086505190312
2;5;1;1;2;148;142;2.0590344827586207;0.22958620689655174;1.7704137931034483
3;5;1;1;2;147;142;2.067069204152249;0.22709342560553633;1.7798269896193772
1;5;1;1;5;60;56;5.100810344827586;0.4688793103448276;4.531120689655173
2;5;1;1;5;60;56;5.101448275862069;0.46620689655172415;4.533793103448276
3;5;1;1;5;60;56;5.101396551724138;0.46948275862068967;4.53051724137931
1;5;1;1;10;30;28;10.000896551724137;1.058448275862069;8.769137931034482
2;5;1;1;10;30;28;10.000793103448276;1.066896551724138;8.760689655172413
3;5;1;1;10;30;28;10.00093103448276;1.0617241379310345;8.765862068965518
1;5;1;1;30;10;10;27.25055;5.3785;21.6215
2;5;1;1;30;10;10;27.3108;5.282;21.718
3;5;1;1;30;10;10;27.2387;5.39;21.61
1;5;3;3;1;874;848;1.042692218350755;0.175;0.8412601626016261
2;5;3;3;1;875;849;1.041606728538283;0.17410672853828307;0.8409744779582367
3;5;3;3;1;874;851;1.0414539130434783;0.17726376811594202;0.8372289855072463
1;5;3;3;2;439;446;2.024788700564972;0.3029943502824859;1.6879661016949152
2;5;3;3;2;440;446;2.0229446952595938;0.3022686230248307;1.6864446952595937
3;5;3;3;2;439;446;2.025489265536723;0.3067909604519774;1.6841694915254237
1;5;3;3;5;179;176;5.001907042253521;0.6416056338028169;4.302056338028169
2;5;3;3;5;177;176;5.029130311614731;0.6555524079320113;4.316118980169971
3;5;3;3;5;177;176;5.028628895184136;0.6462889518413598;4.3253824362606235
1;5;3;3;10;90;85;9.962771428571429;1.0082285714285715;8.820342857142856
2;5;3;3;10;90;85;9.963451428571428;0.9998857142857143;8.828685714285715
3;5;3;3;10;90;85;9.960034285714286;1.0066285714285714;8.821942857142858
1;5;3;3;30;30;30;27.03505;0.9746666666666667;26.025333333333332
2;5;3;3;30;30;30;27.037116666666666;0.9725;26.0275
3;5;3;3;30;30;30;27.042866666666665;0.967;26.033
1;5;4;4;1;1183;1133;1.0347081174438688;0.17315630397236614;0.8410924006908462
2;5;4;4;1;1176;1133;1.0377786920744911;0.17265915980944133;0.8442312689475964
3;5;4;4;1;1176;1134;1.0369969696969696;0.17326406926406926;0.8427532467532467
1;5;4;4;2;590;596;2.0184839797639125;0.27266441821247894;1.7239629005059023
2;5;4;4;2;589;596;2.020544303797468;0.2702278481012658;1.728084388185654
3;5;4;4;2;589;596;2.0200371308016876;0.27041350210970466;1.7278987341772152
1;5;4;4;5;240;239;4.947716075156576;0.4730480167014614;4.453883089770355
2;5;4;4;5;240;239;4.948457202505219;0.4753444676409186;4.451586638830897
3;5;4;4;5;240;239;4.949308977035491;0.4767432150313152;4.450187891440501
1;5;4;4;10;120;120;9.717529166666667;1.1065416666666668;8.560125
2;5;4;4;10;120;120;9.716808333333333;1.0975833333333334;8.569083333333333
3;5;4;4;10;120;120;9.721333333333334;1.095875;8.570791666666667
1;5;4;4;30;40;40;27.0510875;1.101375;25.898625
2;5;4;4;30;40;40;27.04755;1.100875;25.899125
3;5;4;4;30;40;40;27.050475;1.097375;25.902625
1;5;10;10;1;2962;2821;1.0355533460141795;0.20620612139028185;0.8119505446999827
2;5;10;10;1;2961;2824;1.03540985306828;0.2039256698357822;0.8138789974070872
3;5;10;10;1;2962;2819;1.0360785331257567;0.20646600934094447;0.8120428991523958
1;5;10;10;2;1490;1436;2.043592959671907;0.3492515379357485;1.6698872180451128
2;5;10;10;2;1490;1434;2.0447414500683996;0.34927154582763337;1.6705642954856361
3;5;10;10;2;1488;1434;2.046339151266256;0.34982546201232034;1.6713928815879535
1;5;10;10;5;589;600;4.987962153069806;0.6026913372582001;4.355256518082422
2;5;10;10;5;589;600;4.988284272497897;0.6014550042052145;4.356492851135408
3;5;10;10;5;580;590;5.084322222222222;0.5861538461538461;4.341196581196582
1;5;10;10;10;299;300;9.706016694490819;0.5192487479131886;9.163555926544241
2;5;10;10;10;299;300;9.703634390651086;0.4921035058430718;9.190701168614357
3;5;10;10;10;299;300;9.70625876460768;0.5008681135225376;9.181936560934892
1;5;10;10;30;100;100;27.05668;1.3929;25.6071
2;5;10;10;30;100;100;27.063935;1.37965;25.62035
3;5;10;10;30;100;100;27.063415;1.2355;25.7645
1;5;50;50;1;14873;14915;1.005400798979455;0.11287431180341077;0.8840036256210555
2;5;50;50;1;14874;14916;1.0052759986572675;0.11467875125881168;0.8821322591473649
3;5;50;50;1;14866;14908;1.0057046080472896;0.10945422180425875;0.8873886612480688
1;5;50;50;2;7406;7487;2.0074835828912914;0.22741489290270597;1.7639904653192775
2;5;50;50;2;7404;7485;2.007839344482504;0.225859359258513;1.7658123446839948
3;5;50;50;2;7404;7484;2.007836781300376;0.22807160128962922;1.7633308704997313
1;5;50;50;5;3000;2990;4.954442404006678;0.5204340567612687;4.404440734557596
2;5;50;50;5;3000;2990;4.9551539232053425;0.5147412353923205;4.410133555926544
3;5;50;50;5;3000;2990;4.955715525876461;0.514873121869783;4.410001669449082
1;5;50;50;10;1500;1489;9.72129006356641;0.41518902643024425;9.287052525928404
2;5;50;50;10;1500;1489;9.72227300100368;0.41524255603880894;9.28699899631984
3;5;50;50;10;1500;1489;9.7219100033456;0.4256139176982268;9.276627634660422
1;5;50;50;30;495;500;27.159777889447238;0.5667437185929648;26.568934673366833
2;5;50;50;30;495;500;27.16037688442211;0.5064824120603015;26.629195979899496
3;5;50;50;30;495;500;27.162611055276383;0.5646834170854271;26.57099497487437
1;5;100;100;1;29819;29662;1.0069576335300348;0.11451438274406954;0.8823081320085405
2;5;100;100;1;29819;29661;1.0069654337592469;0.11522965702757229;0.8816264290517821
3;5;100;100;1;29806;29651;1.0073470743562574;0.113461156802395;0.883477807491128
1;5;100;100;2;14920;14968;1.9997937633832976;0.15856430674518202;1.8290561429336187
2;5;100;100;2;14921;14969;1.9997648711943794;0.15847072599531617;1.8291505520240883
3;5;100;100;2;14919;14968;2.000363402148091;0.15589788202228394;1.8316552347174357
1;5;100;100;5;5967;6000;4.953377120414473;0.36643185426589786;4.563792930559037
2;5;100;100;5;5967;6000;4.953250940085234;0.3730634244171471;4.557161360407788
3;5;100;100;5;5967;6000;4.953749979109217;0.373844739700844;4.556380045124091
1;5;100;100;10;3000;2990;9.712762771285476;0.5891519198664441;9.093652754590986
2;5;100;100;10;3000;2990;9.712934390651085;0.5842754590984975;9.098529215358932
3;5;100;100;10;3000;2990;9.712150250417363;0.5834323873121869;9.099372287145242
1;5;100;100;30;1000;1000;27.9350935;0.475045;27.439955
2;5;100;100;30;1000;997;27.40735703555333;0.4586079118678017;26.927471206810214
3;5;100;100;30;1000;995;27.435131328320804;0.4737593984962406;26.939774436090225
